Lambda	b	b0	p	w
41129.300781	9.630045	0.000000	0.090447	0.011025
41134.601562	6.015674	0.000000	0.090131	0.007123
41139.898437	2.058170	0.000000	0.089750	0.002787
41145.199219	-1.935045	0.000000	0.089005	-0.001168
41150.398437	-6.418343	0.000000	0.086769	-0.006716
41155.699219	-9.577528	0.000000	0.083007	-0.010032
41160.898437	-11.919988	0.000000	0.077389	-0.012279
41166.199219	-12.867146	0.000000	0.073005	-0.011936
41171.398437	-12.957112	0.000000	0.069105	-0.010436
41176.601562	-11.950511	0.000000	0.068407	-0.007017
41181.800781	-10.220218	0.000000	0.068881	-0.002855
41187.000000	-7.942580	0.000000	0.071383	0.002560
41192.199219	-5.584529	0.000000	0.072446	0.007685
41197.398437	-3.565836	0.000000	0.073418	0.012062
41202.500000	-2.369555	0.000000	0.072286	0.014867
41207.699219	-0.898355	0.000000	0.071292	0.018056
41212.800781	-0.380127	0.000000	0.067988	0.019312
41218.000000	-0.648377	0.000000	0.065925	0.018940
41223.101562	-0.994506	0.000000	0.063558	0.018494
41228.300781	-1.867804	0.000000	0.062165	0.017081
41233.398437	-2.705551	0.000000	0.059807	0.015905
