Lambda	b	b0	p	w
31623.699219	69.295687	0.000000	0.041303	0.041943
31628.400391	78.118151	0.000000	0.044342	0.044226
31633.000000	76.350788	0.000000	0.046072	0.044862
31637.699219	72.182224	0.000000	0.047718	0.045516
31642.300781	55.518558	0.000000	0.047984	0.040283
31646.900391	48.706311	0.000000	0.048777	0.041387
31651.500000	40.947188	0.000000	0.051418	0.040560
31656.199219	21.831911	0.000000	0.050377	0.036598
31660.800781	3.702822	0.000000	0.048137	0.031759
31665.400391	0.072646	0.000000	0.048661	0.032855
31670.000000	-5.866054	0.000000	0.047020	0.027107
31674.500000	0.935461	0.000000	0.044605	0.025886
31679.099609	3.118171	0.000000	0.042965	0.022798
31683.699219	12.084068	0.000000	0.040573	0.020976
31688.300781	11.757856	0.000000	0.041021	0.019811
31692.800781	15.242795	0.000000	0.040255	0.017026
31697.400391	30.175365	0.000000	0.039041	0.017715
31701.900391	24.711462	0.000000	0.036494	0.016704
31706.500000	25.332544	0.000000	0.036772	0.014260
31711.000000	28.747150	0.000000	0.033398	0.011800
31715.500000	41.693472	0.000000	0.034419	0.014676
31720.000000	39.169886	0.000000	0.033047	0.013869
31724.599609	47.027284	0.000000	0.033225	0.013743
31729.099609	37.440860	0.000000	0.033252	0.011511
31733.599609	36.765960	0.000000	0.031821	0.013078
31738.099609	22.946509	0.000000	0.035363	0.011971
31742.500000	14.442360	0.000000	0.033888	0.009666
31747.000000	19.430417	0.000000	0.035907	0.014213
31751.500000	25.061267	0.000000	0.036743	0.017061
31755.900391	30.526013	0.000000	0.040659	0.020711
31760.400391	35.728139	0.000000	0.040801	0.022656
31764.800781	43.122229	0.000000	0.043159	0.025707
31769.300781	47.948395	0.000000	0.043679	0.027651
31773.699219	53.451060	0.000000	0.043537	0.030265
31778.099609	50.877340	0.000000	0.044076	0.027685
31782.500000	55.631688	0.000000	0.044451	0.032328
31786.900391	64.301492	0.000000	0.047287	0.036453
31791.300781	69.973465	0.000000	0.046104	0.035519
31795.699219	68.329089	0.000000	0.049032	0.040079
31800.099609	74.260448	0.000000	0.050003	0.041265
31804.500000	86.017563	0.000000	0.053307	0.045255
31808.900391	103.912051	0.000000	0.056141	0.051972
31813.199219	102.294919	0.000000	0.058325	0.052521
31817.599609	116.749614	0.000000	0.061216	0.056672
31821.900391	102.031108	0.000000	0.060588	0.053420
31826.199219	120.581565	0.000000	0.061568	0.059684
31830.599609	129.387922	0.000000	0.062464	0.059334
31834.900391	126.449388	0.000000	0.062199	0.059551
31839.199219	129.443003	0.000000	0.063165	0.061664
31843.500000	128.270724	0.000000	0.064884	0.063742
31847.800781	106.713558	0.000000	0.060061	0.055115
31852.099609	112.486801	0.000000	0.060182	0.059661
31856.400391	84.754145	0.000000	0.052057	0.050151
31860.599609	86.494581	0.000000	0.049558	0.051381
31864.900391	67.739356	0.000000	0.043720	0.046426
31869.099609	56.436791	0.000000	0.033350	0.036831
31873.400391	17.480297	0.000000	0.022911	0.023409
31877.599609	-2.514644	0.000000	0.015809	0.017293
31881.900391	-20.343773	0.000000	0.009462	0.007309
31886.099609	-27.602443	0.000000	0.004350	-0.005950
31890.300781	-5.503943	0.000000	0.006137	-0.011789
31894.500000	40.710684	0.000000	0.005701	-0.017467
31898.699219	115.470775	0.000000	0.005336	-0.016105
31902.900391	198.775063	0.000000	0.009245	-0.007300
31907.000000	242.998598	0.000000	0.009867	-0.004068
31911.199219	253.592288	0.000000	0.012068	-0.003596
31915.400391	218.952985	0.000000	0.012196	-0.006094
31919.500000	183.588859	0.000000	0.015225	-0.009377
31923.699219	146.395277	0.000000	0.014634	-0.009517
31927.800781	119.806450	0.000000	0.017268	-0.011056
31931.900391	79.583485	0.000000	0.019011	-0.013760
31936.099609	69.497817	0.000000	0.020482	-0.009993
31940.199219	45.492166	0.000000	0.018803	-0.014861
31944.300781	43.242032	0.000000	0.020074	-0.009642
31948.400391	33.402812	0.000000	0.019928	-0.009972
31952.500000	34.614216	0.000000	0.022245	-0.003924
31956.599609	23.930784	0.000000	0.020298	-0.005355
31960.599609	26.000451	0.000000	0.019657	-0.001084
31964.699219	20.889648	0.000000	0.021110	0.003082
31968.800781	17.546228	0.000000	0.018057	0.003352
31972.800781	12.528413	0.000000	0.017632	0.003269
31976.800781	-0.866440	0.000000	0.017199	0.004898
31980.900391	3.027740	0.000000	0.018280	0.009477
31984.900391	-8.148370	0.000000	0.015144	0.009596
31988.900391	-13.633851	0.000000	0.015388	0.012489
31992.900391	-29.861962	0.000000	0.013144	0.011731
31996.900391	-36.318921	0.000000	0.009628	0.009462
32000.900391	-51.122507	0.000000	0.007063	0.008498
32004.900391	-52.551844	0.000000	0.004252	0.011040
32008.900391	-55.696251	0.000000	0.004182	0.013396
32012.900391	-66.307356	0.000000	-0.001905	0.008212
32016.900391	-54.804531	0.000000	-0.000939	0.016213
32020.800781	-73.067763	0.000000	-0.002529	0.011057
32024.800781	-83.552026	0.000000	-0.006387	0.006603
32028.699219	-83.296526	0.000000	-0.012915	0.005835
32032.699219	-83.782627	0.000000	-0.012292	0.010346
32036.599609	-92.778575	0.000000	-0.017982	0.001733
32040.500000	-92.144733	0.000000	-0.019621	0.005362
32044.400391	-85.443599	0.000000	-0.024081	0.001017
32048.400391	-106.200844	0.000000	-0.027145	-0.005761
32052.300781	-97.121880	0.000000	-0.029612	-0.006906
32056.199219	-116.319580	0.000000	-0.033371	-0.009714
32060.099609	-99.861841	0.000000	-0.034831	-0.007669
32063.900391	-104.741655	0.000000	-0.037539	-0.007792
32067.800781	-105.131537	0.000000	-0.041775	-0.013846
32071.699219	-86.056671	0.000000	-0.044349	-0.011958
32075.599609	-99.724215	0.000000	-0.048651	-0.016595
32079.400391	-89.402287	0.000000	-0.049759	-0.016679
32083.300781	-105.072637	0.000000	-0.053580	-0.024793
32087.199219	-70.609663	0.000000	-0.050662	-0.011906
32091.000000	-63.854772	0.000000	-0.052797	-0.013921
32094.900391	-66.972967	0.000000	-0.052409	-0.011994
32098.699219	-70.645369	0.000000	-0.058486	-0.021415
32102.500000	-83.241738	0.000000	-0.062233	-0.025291
32106.400391	-53.866821	0.000000	-0.061377	-0.024842
32110.199219	-89.380811	0.000000	-0.071531	-0.037306
32114.000000	-76.097084	0.000000	-0.064653	-0.034450
32117.900391	-63.116522	0.000000	-0.067201	-0.028196
32121.699219	-73.192904	0.000000	-0.068887	-0.038989
32125.500000	-56.199653	0.000000	-0.076047	-0.036633
32129.300781	-88.924435	0.000000	-0.080866	-0.050232
32133.099609	-58.662392	0.000000	-0.078143	-0.046549
32136.900391	-51.594072	0.000000	-0.079871	-0.043185
32140.699219	-67.108423	0.000000	-0.082449	-0.048160
32144.500000	-82.923789	0.000000	-0.088680	-0.062310
32148.300781	-59.254150	0.000000	-0.089243	-0.056264
32152.099609	-94.170484	0.000000	-0.094330	-0.085355
32155.900391	7.884932	0.000000	-0.090814	-0.052509
32159.699219	-29.494062	0.000000	-0.094967	-0.083402
32163.500000	42.244610	0.000000	-0.088192	-0.068468
32167.300781	-3.088097	0.000000	-0.098902	-0.091500
32171.099609	63.890995	0.000000	-0.087881	-0.082900
32174.900391	14.200617	0.000000	-0.089563	-0.099395
32178.599609	191.944053	0.000000	-0.076430	-0.063977
32182.400391	113.191045	0.000000	-0.075921	-0.085673
32186.199219	213.894961	0.000000	-0.093308	-0.086552
32190.000000	97.494278	0.000000	-0.085132	-0.121159
32193.800781	123.910534	0.000000	-0.101023	-0.144880
32197.599609	105.351639	0.000000	-0.075699	-0.152470
32201.400391	129.917333	0.000000	-0.078476	-0.152492
4415.859863	-5.563896	0.000000	0.017285	0.012863
4421.859863	-2.089855	0.000000	-0.009375	-0.010140
4427.859863	26.041364	0.000000	-0.061892	-0.043404
4433.850098	53.843507	0.000000	-0.118926	-0.078882
4439.819824	78.401339	0.000000	-0.162076	-0.101287
4445.779785	88.831976	0.000000	-0.174851	-0.102209
4451.729980	60.190245	0.000000	-0.142259	-0.076785
4457.669922	43.553168	0.000000	-0.127286	-0.068399
4463.600098	38.814188	0.000000	-0.116064	-0.062659
4469.510254	31.682052	0.000000	-0.106569	-0.062379
4475.410156	28.294316	0.000000	-0.098865	-0.061616
4481.299805	22.240601	0.000000	-0.090113	-0.060175
4487.180176	10.378757	0.000000	-0.080818	-0.055377
4493.049805	9.186025	0.000000	-0.073247	-0.045327
4498.899902	1.120872	0.000000	-0.067010	-0.040320
4504.750000	-1.762727	0.000000	-0.061246	-0.034176
4510.580078	-18.295278	0.000000	-0.057389	-0.034439
4516.399902	-29.889560	0.000000	-0.050361	-0.033617
4522.200195	-37.082592	0.000000	-0.043690	-0.033044
4528.000000	-50.884466	0.000000	-0.041080	-0.037348
4533.779785	-62.759215	0.000000	-0.038285	-0.042221
4539.549805	-63.555410	0.000000	-0.033925	-0.039700
4545.310059	-76.254751	0.000000	-0.028268	-0.039361
4551.049805	-76.713798	0.000000	-0.019222	-0.031145
4556.779785	-82.036722	0.000000	-0.010260	-0.025089
4562.500000	-87.992044	0.000000	-0.003388	-0.021246
4568.209961	-93.947788	0.000000	0.000668	-0.021185
4573.910156	-97.285544	0.000000	0.003586	-0.019967
4579.589844	-97.636906	0.000000	0.007400	-0.017055
4585.260254	-90.551072	0.000000	0.012059	-0.010856
4590.919922	-78.320048	0.000000	0.016244	-0.006314
4596.569824	-63.518114	0.000000	0.020413	0.000391
4602.200195	-53.081960	0.000000	0.022444	0.005407
4607.819824	-59.083573	0.000000	0.024307	0.006194
4613.430176	-68.286533	0.000000	0.026748	0.007922
4619.029785	-85.167453	0.000000	0.028915	0.005710
4624.609863	-94.243344	0.000000	0.030605	0.003028
4630.180176	-89.561192	0.000000	0.033439	0.007128
4635.739746	-77.446632	0.000000	0.036359	0.013287
4641.279785	-66.067216	0.000000	0.041666	0.020168
4646.819824	-55.387133	0.000000	0.042185	0.023411
4652.339844	-60.125723	0.000000	0.038834	0.016577
4657.839844	-66.372320	0.000000	0.030323	0.005429
4663.339844	-74.646053	0.000000	0.019103	-0.008486
4668.819824	-78.542403	0.000000	0.009556	-0.019393
4674.290039	-77.080272	0.000000	0.003929	-0.024117
4679.739746	-76.794057	0.000000	-0.001252	-0.026718
4685.180176	-73.954103	0.000000	-0.002261	-0.026780
4690.609863	-54.312896	0.000000	-0.000714	-0.020309
4696.029785	-27.415602	0.000000	0.002858	-0.012284
4701.430176	9.123265	0.000000	0.009458	0.001317
4706.819824	39.710465	0.000000	0.013599	0.011122
4712.200195	58.550500	0.000000	0.013878	0.014359
4717.560059	71.498387	0.000000	0.011439	0.012465
4722.919922	84.541697	0.000000	0.007798	0.010502
4728.250000	98.623852	0.000000	0.004443	0.009486
4733.580078	107.981700	0.000000	0.002652	0.009626
4738.890137	112.787553	0.000000	0.002338	0.011683
4744.189941	113.907832	0.000000	0.001900	0.011988
4749.470215	114.276515	0.000000	0.002173	0.012966
4754.739746	114.628520	0.000000	0.004438	0.017162
4760.000000	117.614968	0.000000	0.009247	0.023271
4765.239746	119.983151	0.000000	0.014673	0.030248
4770.470215	121.001178	0.000000	0.020388	0.036935
4775.689941	114.181413	0.000000	0.024440	0.038329
4780.899902	105.351255	0.000000	0.024715	0.036281
4786.089844	90.124505	0.000000	0.024338	0.032957
4791.260254	75.525069	0.000000	0.024433	0.028958
4796.430176	70.126232	0.000000	0.026275	0.030601
4801.580078	64.092134	0.000000	0.027253	0.031684
4806.709961	55.941851	0.000000	0.027797	0.033349
4811.839844	49.558213	0.000000	0.027341	0.034962
4816.939941	45.541450	0.000000	0.026847	0.037998
4822.040039	45.571173	0.000000	0.028034	0.041969
4827.120117	46.656839	0.000000	0.030947	0.046664
4832.189941	54.349815	0.000000	0.034447	0.051099
4837.239746	52.613252	0.000000	0.036780	0.053639
4842.279785	50.823968	0.000000	0.039743	0.055192
4847.310059	44.649584	0.000000	0.039427	0.053658
4852.319824	33.164384	0.000000	0.039045	0.047636
4857.319824	18.455958	0.000000	0.038571	0.040278
4862.299805	15.024689	0.000000	0.039085	0.036543
4867.270020	7.004907	0.000000	0.039158	0.033213
4872.229980	-3.110372	0.000000	0.041262	0.031025
4877.169922	-10.394538	0.000000	0.040998	0.030236
4882.100098	-18.228555	0.000000	0.040040	0.027281
4887.010254	-23.119075	0.000000	0.038935	0.025563
4891.910156	-17.497791	0.000000	0.039347	0.028839
4896.799805	-16.759069	0.000000	0.037549	0.028576
4901.669922	-25.194723	0.000000	0.036535	0.023157
4906.529785	-27.581607	0.000000	0.031904	0.016150
4911.370117	-34.868377	0.000000	0.025810	0.006582
4916.200195	-38.618162	0.000000	0.020903	0.000872
4921.010254	-33.169369	0.000000	0.018840	0.000848
4925.810059	-40.025734	0.000000	0.015137	-0.003900
4930.600098	-49.924432	0.000000	0.013480	-0.008821
4935.370117	-49.242744	0.000000	0.010735	-0.008948
4940.129883	-45.648958	0.000000	0.007308	-0.008637
4944.870117	-32.687207	0.000000	0.005993	-0.003092
4949.600098	-21.260896	0.000000	0.003376	-0.001267
4954.310059	-25.439413	0.000000	0.001243	-0.004852
4959.010254	-37.883811	0.000000	-0.001588	-0.010615
4963.700195	-39.614305	0.000000	-0.005261	-0.013580
4968.370117	-33.275743	0.000000	-0.006576	-0.015418
4973.020020	-35.030460	0.000000	-0.006963	-0.016611
4977.660156	-28.786415	0.000000	-0.005856	-0.016620
4982.290039	-42.994432	0.000000	-0.011197	-0.023374
4986.899902	-78.587782	0.000000	-0.016364	-0.036341
4991.500000	-62.337979	0.000000	-0.016886	-0.034446
4996.080078	-37.230293	0.000000	-0.016847	-0.028075
41000.601562	-4.217378	0.000000	-0.016116	-0.016068
41005.199219	28.461494	0.000000	-0.022797	-0.011689
41009.699219	7.332603	0.000000	-0.040799	-0.031354
41014.199219	-45.614715	0.000000	-0.060655	-0.063955
41081.199219	-9.681385	0.000000	-0.089873	-0.083707
41086.601562	9.997333	0.000000	-0.091209	-0.077311
