Lambda	b	b0	p	w
32182.400391	-75.352621	0.000000	-0.097134	-0.093063
32186.199219	-106.354249	0.000000	-0.125817	-0.144865
32190.000000	-85.014409	0.000000	-0.107457	-0.097590
32193.800781	-101.395539	0.000000	-0.138750	-0.143610
32197.599609	-95.815350	0.000000	-0.114582	-0.113904
32201.400391	-110.957531	0.000000	-0.115208	-0.143470
4415.859863	8.563070	0.000000	0.005782	0.000915
4421.859863	-5.462444	0.000000	-0.003306	-0.001225
4427.859863	-29.957943	0.000000	-0.021685	-0.002638
4433.850098	-56.882168	0.000000	-0.038729	-0.004690
4439.819824	-75.410592	0.000000	-0.049669	-0.003972
4445.779785	-79.995678	0.000000	-0.050420	-0.004457
4451.729980	-59.001788	0.000000	-0.033786	0.001871
4457.669922	-50.263547	0.000000	-0.025107	0.005554
4463.600098	-41.961360	0.000000	-0.022538	0.008594
4469.510254	-37.116987	0.000000	-0.020597	0.008139
4475.410156	-33.217444	0.000000	-0.019390	0.008086
4481.299805	-30.517338	0.000000	-0.015773	0.007028
4487.180176	-25.074184	0.000000	-0.008415	0.010608
4493.049805	-20.541322	0.000000	-0.001542	0.015346
4498.899902	-14.915217	0.000000	0.001985	0.019006
4504.750000	-10.488917	0.000000	0.004151	0.021130
4510.580078	-5.986383	0.000000	0.004591	0.022661
4516.399902	-1.537745	0.000000	0.006252	0.023372
4522.200195	1.755236	0.000000	0.006012	0.021736
4528.000000	4.410389	0.000000	0.003067	0.019826
4533.779785	6.725797	0.000000	-0.000020	0.017799
4539.549805	8.459180	0.000000	-0.001047	0.015959
4545.310059	12.083089	0.000000	-0.000298	0.016121
4551.049805	16.300881	0.000000	0.002579	0.016394
4556.779785	20.775229	0.000000	0.005048	0.016663
4562.500000	24.320226	0.000000	0.005637	0.014848
4568.209961	26.791791	0.000000	0.003954	0.012282
4573.910156	28.439971	0.000000	0.001962	0.009318
4579.589844	29.231816	0.000000	0.001923	0.006923
4585.260254	28.670436	0.000000	0.003048	0.004326
4590.919922	25.803310	0.000000	0.002537	-0.001364
4596.569824	22.830100	0.000000	0.001397	-0.008566
4602.200195	20.654633	0.000000	0.000124	-0.014009
4607.819824	21.938121	0.000000	-0.000507	-0.015549
4613.430176	24.818452	0.000000	0.001107	-0.013273
4619.029785	28.018682	0.000000	0.002560	-0.010868
4624.609863	29.455152	0.000000	0.002601	-0.010682
4630.180176	29.449190	0.000000	0.003996	-0.010643
4635.739746	28.795011	0.000000	0.006360	-0.009783
4641.279785	28.884449	0.000000	0.010547	-0.006533
4646.819824	27.478937	0.000000	0.012381	-0.003294
4652.339844	25.671516	0.000000	0.011216	-0.000979
4657.839844	22.263170	0.000000	0.005778	-0.001967
4663.339844	18.331992	0.000000	-0.001319	-0.003376
4668.819824	15.695071	0.000000	-0.007931	-0.004672
4674.290039	13.939964	0.000000	-0.010547	-0.003880
4679.739746	13.121534	0.000000	-0.011841	-0.002149
4685.180176	13.727598	0.000000	-0.010913	0.001351
4690.609863	12.771282	0.000000	-0.010540	0.001021
4696.029785	10.705446	0.000000	-0.011234	-0.002327
4701.430176	7.960535	0.000000	-0.011092	-0.008494
4706.819824	3.871670	0.000000	-0.012438	-0.016594
4712.200195	-0.121936	0.000000	-0.016349	-0.024522
4717.560059	-4.128462	0.000000	-0.022387	-0.032315
4722.919922	-8.033604	0.000000	-0.028402	-0.038886
4728.250000	-12.034836	0.000000	-0.033903	-0.045407
4733.580078	-14.077474	0.000000	-0.037586	-0.049571
4738.890137	-14.720001	0.000000	-0.039249	-0.051484
4744.189941	-14.459153	0.000000	-0.041833	-0.052714
4749.470215	-13.764398	0.000000	-0.043890	-0.053339
4754.739746	-11.658491	0.000000	-0.043874	-0.052301
4760.000000	-9.771203	0.000000	-0.041971	-0.051733
4765.239746	-7.316129	0.000000	-0.039665	-0.051086
4770.470215	-4.470333	0.000000	-0.037435	-0.050652
4775.689941	-1.324889	0.000000	-0.037571	-0.051410
4780.899902	0.575543	0.000000	-0.040350	-0.053278
4786.089844	3.846133	0.000000	-0.043788	-0.054245
4791.260254	6.431259	0.000000	-0.047274	-0.056403
4796.430176	8.373047	0.000000	-0.048893	-0.058379
4801.580078	10.328518	0.000000	-0.050553	-0.059506
4806.709961	12.920643	0.000000	-0.050642	-0.057407
4811.839844	15.214089	0.000000	-0.051828	-0.055709
4816.939941	17.293787	0.000000	-0.052926	-0.054147
4822.040039	19.309540	0.000000	-0.052786	-0.052487
4827.120117	20.871543	0.000000	-0.050864	-0.050311
4832.189941	20.820083	0.000000	-0.049260	-0.049467
4837.239746	21.674637	0.000000	-0.045251	-0.044108
4842.279785	23.496561	0.000000	-0.042554	-0.039748
4847.310059	23.745212	0.000000	-0.041344	-0.037790
4852.319824	24.851482	0.000000	-0.040551	-0.034535
4857.319824	25.398795	0.000000	-0.039523	-0.032363
4862.299805	24.498725	0.000000	-0.038366	-0.031613
4867.270020	23.801094	0.000000	-0.035405	-0.028086
4872.229980	25.157471	0.000000	-0.031176	-0.022181
4877.169922	24.026238	0.000000	-0.027171	-0.019253
4882.100098	23.168700	0.000000	-0.023864	-0.014821
4887.010254	21.544905	0.000000	-0.020395	-0.011689
4891.910156	19.836425	0.000000	-0.016649	-0.008361
4896.799805	18.911559	0.000000	-0.015802	-0.005666
4901.669922	19.999820	0.000000	-0.015849	-0.002181
4906.529785	17.913542	0.000000	-0.018939	-0.004150
4911.370117	16.203590	0.000000	-0.021873	-0.003267
4916.200195	14.476230	0.000000	-0.022859	-0.001740
4921.010254	11.788614	0.000000	-0.022511	-0.001299
4925.810059	11.191744	0.000000	-0.023249	0.000790
4930.600098	11.580172	0.000000	-0.023584	0.003168
4935.370117	9.998606	0.000000	-0.024794	0.001474
4940.129883	7.009136	0.000000	-0.024938	0.001037
4944.870117	4.064525	0.000000	-0.024474	-0.000424
4949.600098	0.546077	0.000000	-0.025697	-0.003261
4954.310059	-0.166987	0.000000	-0.026241	-0.001801
4959.010254	0.475051	0.000000	-0.027821	0.001036
4963.700195	-1.787696	0.000000	-0.029701	-0.001156
4968.370117	-4.893317	0.000000	-0.030993	-0.003443
4973.020020	-6.447754	0.000000	-0.031457	-0.005055
4977.660156	-7.528692	0.000000	-0.030673	-0.002211
4982.290039	-8.100300	0.000000	-0.033954	-0.000791
4986.899902	-6.325371	0.000000	-0.033777	0.006897
4991.500000	-11.472895	0.000000	-0.032257	0.005173
4996.080078	-18.888379	0.000000	-0.029905	0.002351
41000.601562	-26.714795	0.000000	-0.029859	-0.004379
41005.199219	-37.850309	0.000000	-0.032476	-0.006431
41009.699219	-43.532341	0.000000	-0.048311	-0.014098
41014.199219	-45.632810	0.000000	-0.057263	-0.008615
41081.199219	-70.167529	0.000000	-0.079278	-0.020776
41086.601562	-71.256126	0.000000	-0.076143	-0.020657
41092.000000	-56.176104	0.000000	-0.055670	-0.016071
41097.300781	-32.823852	0.000000	-0.025937	-0.003044
41102.699219	-3.116443	0.000000	0.000108	0.008965
41108.101562	16.451669	0.000000	0.020589	0.024028
41113.398437	5.965185	0.000000	0.015396	0.021241
41118.699219	7.291509	0.000000	0.019693	0.025058
41124.000000	7.628206	0.000000	0.023502	0.026706
41129.300781	7.553493	0.000000	0.025630	0.027287
41134.601562	6.148231	0.000000	0.027708	0.027041
41139.898437	4.632650	0.000000	0.029671	0.027148
41145.199219	2.652189	0.000000	0.031507	0.026860
41150.398437	1.271918	0.000000	0.032222	0.026617
41155.699219	0.061997	0.000000	0.031450	0.025386
41160.898437	-0.934107	0.000000	0.028730	0.023332
41166.199219	-1.713338	0.000000	0.025481	0.021254
41171.398437	-2.072307	0.000000	0.022228	0.019546
41176.601562	-1.791130	0.000000	0.019784	0.019341
41181.800781	-0.903439	0.000000	0.017990	0.020120
41187.000000	0.293968	0.000000	0.016325	0.021777
41192.199219	1.502292	0.000000	0.014140	0.023044
41197.398437	2.911794	0.000000	0.012024	0.024775
41202.500000	3.932870	0.000000	0.009258	0.025483
41207.699219	5.003142	0.000000	0.006111	0.026028
41212.800781	4.878839	0.000000	0.002582	0.024090
41218.000000	4.473268	0.000000	-0.000431	0.021959
41223.101562	3.903889	0.000000	-0.002671	0.019575
41228.300781	3.714665	0.000000	-0.003500	0.018254
41233.398437	3.659153	0.000000	-0.004206	0.017126
41238.500000	4.424660	0.000000	-0.004472	0.017247
41243.601562	5.133306	0.000000	-0.005173	0.017095
41248.699219	6.559293	0.000000	-0.005254	0.018610
41253.800781	8.160033	0.000000	-0.005146	0.020638
